date,dewpoint_c,event_name,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,21.7,Ts Imelda 2019,0.0,,,1015.0,4,,USW00012960,23.9,2019-09-16T10:00:00,,,,330,,1.5
,21.7,Ts Imelda 2019,0.0,,,1015.1,2,,USW00012960,24.4,2019-09-16T11:00:00,,,,350,,1.5
,21.7,Ts Imelda 2019,0.0,,,1015.2,2,,USW00012960,24.4,2019-09-16T12:00:00,,,,0,,0.0
,22.2,Ts Imelda 2019,0.0,,,1015.4,2,,USW00012960,25.6,2019-09-16T13:00:00,,,,,,2.6
,22.8,Ts Imelda 2019,0.0,,,1015.7,2,,USW00012960,27.8,2019-09-16T14:00:00,,,,20,,3.6
,22.8,Ts Imelda 2019,0.0,,,1015.9,2,,USW00012960,30.6,2019-09-16T15:00:00,,,,30,,5.1
,21.1,Ts Imelda 2019,0.0,,,1015.8,4,,USW00012960,32.2,2019-09-16T16:00:00,,,,70,,6.7
,20.6,Ts Imelda 2019,0.0,,,1015.4,,,USW00012960,32.8,2019-09-16T17:00:00,,,,70,,7.2
,20.0,Ts Imelda 2019,0.0,,,1014.8,6,,USW00012960,33.9,2019-09-16T18:00:00,,,,70,,6.2
,20.0,Ts Imelda 2019,0.0,,,1013.9,,,USW00012960,34.4,2019-09-16T19:00:00,,,,70,,6.2
,21.7,Ts Imelda 2019,0.0,,,1012.8,,,USW00012960,32.8,2019-09-16T20:00:00,,,,150,,6.2
,23.3,Ts Imelda 2019,-0.1,,,1013.1,,,USW00012960,27.2,2019-09-16T21:00:00,,,,130,,11.3
,23.3,Ts Imelda 2019,-0.1,,,1013.5,,,USW00012960,28.3,2019-09-16T22:00:00,,,,90,,9.8
,22.8,Ts Imelda 2019,-0.1,,,1013.4,,,USW00012960,26.1,2019-09-16T23:00:00,,,,70,,5.7
,22.2,Ts Imelda 2019,-0.1,-0.1,,1013.0,6,,USW00012960,26.1,2019-09-17T00:00:00,,,,90,,5.7
,21.7,Ts Imelda 2019,0.0,,,1013.3,,,USW00012960,25.6,2019-09-17T01:00:00,,,,90,,5.7
,22.2,Ts Imelda 2019,0.0,,,1013.6,,,USW00012960,25.0,2019-09-17T02:00:00,,,,100,,4.6
,22.8,Ts Imelda 2019,0.0,,,1013.7,,,USW00012960,25.0,2019-09-17T03:00:00,,,,60,,3.6
,22.8,Ts Imelda 2019,0.0,,,1013.7,,,USW00012960,25.6,2019-09-17T04:00:00,,,,30,,3.1
,22.8,Ts Imelda 2019,0.0,,,1013.3,4,,USW00012960,24.4,2019-09-17T05:00:00,,,,20,,2.1
,22.8,Ts Imelda 2019,0.0,,,1013.1,4,,USW00012960,23.9,2019-09-17T06:00:00,,,,40,,2.6
,22.8,Ts Imelda 2019,0.0,,,1012.9,,,USW00012960,25.0,2019-09-17T07:00:00,,,,30,,2.6
,22.8,Ts Imelda 2019,0.0,,,1012.5,4,,USW00012960,24.4,2019-09-17T08:00:00,,,,60,,2.6
,23.3,Ts Imelda 2019,0.0,,,1012.5,,,USW00012960,25.0,2019-09-17T09:00:00,,,,30,,2.1
,23.3,Ts Imelda 2019,-0.1,,,1012.1,,,USW00012960,25.0,2019-09-17T10:00:00,,,,50,,3.6
,23.3,Ts Imelda 2019,1.3,,,1012.3,,,USW00012960,25.0,2019-09-17T11:00:00,,,,70,,2.6
,23.3,Ts Imelda 2019,-0.1,1.0,,1012.4,8,,USW00012960,25.0,2019-09-17T12:00:00,,,,60,,5.1
,23.3,Ts Imelda 2019,0.0,,,1013.0,,,USW00012960,25.0,2019-09-17T13:00:00,,,,70,,5.1
,23.3,Ts Imelda 2019,1.5,,,1012.7,,,USW00012960,25.0,2019-09-17T14:00:00,,,,70,,5.7
,23.9,Ts Imelda 2019,-0.1,,,1013.2,,,USW00012960,25.0,2019-09-17T15:00:00,,,,80,,5.1
,23.3,Ts Imelda 2019,0.8,,,1013.3,,,USW00012960,24.4,2019-09-17T16:00:00,,,,90,,5.1
,22.8,Ts Imelda 2019,1.3,,,1013.7,,,USW00012960,24.4,2019-09-17T17:00:00,,,,50,,4.1
,23.9,Ts Imelda 2019,-0.1,4.0,,1013.3,8,,USW00012960,26.7,2019-09-17T18:00:00,,,,80,,5.1
,23.9,Ts Imelda 2019,-0.1,,,1012.5,,,USW00012960,26.7,2019-09-17T19:00:00,,,,90,,6.2
,23.9,Ts Imelda 2019,0.3,,,1011.3,,,USW00012960,26.7,2019-09-17T20:00:00,,,,80,,5.7
,23.9,Ts Imelda 2019,0.0,,,1010.5,,,USW00012960,27.8,2019-09-17T21:00:00,,,,70,,7.7
,23.3,Ts Imelda 2019,-0.1,,,1009.9,,,USW00012960,26.1,2019-09-17T22:00:00,,,,80,,7.7
,23.3,Ts Imelda 2019,1.0,,,1009.7,,,USW00012960,25.0,2019-09-17T23:00:00,,,,70,,7.2
,23.3,Ts Imelda 2019,0.8,2.0,,1009.4,8,,USW00012960,25.0,2019-09-18T00:00:00,,,,60,,8.2
,22.8,Ts Imelda 2019,0.8,,,1009.2,,,USW00012960,24.4,2019-09-18T01:00:00,,,,80,,7.2
,22.8,Ts Imelda 2019,1.5,,,1009.5,,,USW00012960,24.4,2019-09-18T02:00:00,,,,80,,8.8
,22.8,Ts Imelda 2019,0.3,,,1010.0,,,USW00012960,24.4,2019-09-18T03:00:00,,,,110,,8.8
,22.8,Ts Imelda 2019,0.8,,,1009.8,,,USW00012960,25.6,2019-09-18T04:00:00,,,,120,,8.8
,23.3,Ts Imelda 2019,3.6,,,1009.9,,,USW00012960,24.4,2019-09-18T05:00:00,,,,130,,9.3
,23.3,Ts Imelda 2019,1.5,8.0,,1009.8,8,,USW00012960,24.4,2019-09-18T06:00:00,,,,140,,8.8
,23.3,Ts Imelda 2019,3.0,,,1009.9,,,USW00012960,24.4,2019-09-18T07:00:00,,,,150,,7.2
,23.3,Ts Imelda 2019,9.9,,,1009.7,,,USW00012960,24.4,2019-09-18T08:00:00,,,,170,,4.1
,23.3,Ts Imelda 2019,1.3,,,1009.6,,,USW00012960,24.4,2019-09-18T09:00:00,,,,230,,2.1
,23.3,Ts Imelda 2019,0.3,,,1009.6,,,USW00012960,24.4,2019-09-18T10:00:00,,,,180,,3.1
,23.3,Ts Imelda 2019,0.5,,,1010.0,,,USW00012960,24.4,2019-09-18T11:00:00,,,,200,,3.1
,23.3,Ts Imelda 2019,0.5,15.0,,1010.3,8,,USW00012960,24.4,2019-09-18T12:00:00,,,,190,,3.6
,23.3,Ts Imelda 2019,4.8,,,1010.6,,,USW00012960,24.4,2019-09-18T13:00:00,,,,170,,4.6
,22.8,Ts Imelda 2019,6.6,,,1011.0,,,USW00012960,24.4,2019-09-18T14:00:00,,,,200,,4.6
,23.3,Ts Imelda 2019,1.5,,,1011.4,,,USW00012960,24.4,2019-09-18T15:00:00,,,,200,,3.6
,23.3,Ts Imelda 2019,6.6,,,1012.0,,,USW00012960,24.4,2019-09-18T16:00:00,,,,210,,3.1
,23.3,Ts Imelda 2019,9.9,,,1012.2,,,USW00012960,24.4,2019-09-18T17:00:00,,,,,,2.1
,23.9,Ts Imelda 2019,0.3,30.0,,1011.9,8,,USW00012960,25.6,2019-09-18T18:00:00,,,,190,,2.1
,23.9,Ts Imelda 2019,0.3,,,1011.5,,,USW00012960,26.1,2019-09-18T19:00:00,,,,200,,2.6
,24.4,Ts Imelda 2019,0.3,,,1010.8,,,USW00012960,26.7,2019-09-18T20:00:00,,,,210,,1.5
,24.4,Ts Imelda 2019,-0.1,,,1010.5,,,USW00012960,28.3,2019-09-18T21:00:00,,,,350,,1.5
,25.0,Ts Imelda 2019,-0.1,,,1010.1,,,USW00012960,27.8,2019-09-18T22:00:00,,,,50,,2.1
,24.4,Ts Imelda 2019,-0.1,,,1010.2,,,USW00012960,27.2,2019-09-18T23:00:00,,,,50,,3.1
,25.0,Ts Imelda 2019,4.8,5.0,,1010.6,8,,USW00012960,26.7,2019-09-19T00:00:00,,,,110,,1.5
,24.4,Ts Imelda 2019,0.0,,,1010.9,,,USW00012960,25.6,2019-09-19T01:00:00,,,,110,,3.1
,23.9,Ts Imelda 2019,-0.1,,,1011.0,,,USW00012960,25.6,2019-09-19T02:00:00,,,,140,,4.1
,23.9,Ts Imelda 2019,-0.1,,,1011.1,,,USW00012960,25.6,2019-09-19T03:00:00,,,,170,,1.5
,24.4,Ts Imelda 2019,-0.1,,,1010.9,,,USW00012960,24.4,2019-09-19T04:00:00,,,,0,,0.0
,24.4,Ts Imelda 2019,-0.1,,,1010.7,,,USW00012960,25.6,2019-09-19T05:00:00,,,,330,,2.1
,24.4,Ts Imelda 2019,-0.1,-0.1,,1010.5,8,,USW00012960,25.6,2019-09-19T06:00:00,,,,240,,1.5
,25.0,Ts Imelda 2019,0.0,,,1010.2,,,USW00012960,26.1,2019-09-19T07:00:00,,,,,,3.1
,25.0,Ts Imelda 2019,0.0,,,1010.5,,,USW00012960,26.7,2019-09-19T08:00:00,,,,250,,2.1
,25.6,Ts Imelda 2019,0.0,,,1009.9,,,USW00012960,26.7,2019-09-19T09:00:00,,,,210,,2.6
,25.0,Ts Imelda 2019,0.0,,,1009.1,,,USW00012960,27.2,2019-09-19T10:00:00,,,,220,,4.6
